ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cabbage,h_cabbage,l_cabbage,c_cabbage,inflation_cabbage,trust_cabbage,o_carrots,h_carrots,l_carrots,c_carrots,inflation_carrots,trust_carrots,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_meat_beef_chops,h_meat_beef_chops,l_meat_beef_chops,c_meat_beef_chops,inflation_meat_beef_chops,trust_meat_beef_chops,o_meat_chicken_whole,h_meat_chicken_whole,l_meat_chicken_whole,c_meat_chicken_whole,inflation_meat_chicken_whole,trust_meat_chicken_whole,o_meat_pork,h_meat_pork,l_meat_pork,c_meat_pork,inflation_meat_pork,trust_meat_pork,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_potatoes,h_potatoes,l_potatoes,c_potatoes,inflation_potatoes,trust_potatoes,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_dish_soap,h_dish_soap,l_dish_soap,c_dish_soap,inflation_dish_soap,trust_dish_soap,o_soap,h_soap,l_soap,c_soap,inflation_soap,trust_soap,o_shampoo,h_shampoo,l_shampoo,c_shampoo,inflation_shampoo,trust_shampoo,o_bleach,h_bleach,l_bleach,c_bleach,inflation_bleach,trust_bleach,o_detergent,h_detergent,l_detergent,c_detergent,inflation_detergent,trust_detergent,o_fabric_softeners,h_fabric_softeners,l_fabric_softeners,c_fabric_softeners,inflation_fabric_softeners,trust_fabric_softeners,o_toothpaste,h_toothpaste,l_toothpaste,c_toothpaste,inflation_toothpaste,trust_toothpaste,o_deodorant,h_deodorant,l_deodorant,c_deodorant,inflation_deodorant,trust_deodorant,o_toilet_paper,h_toilet_paper,l_toilet_paper,c_toilet_paper,inflation_toilet_paper,trust_toilet_paper,components
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/01/2024,2024,1,PHP,10.87,10.93,10.62,10.91,1.9,8.88,25.76,25.49,24.38,25.4,2.2,9.15,16.12,16.96,15.81,16.42,1.48,8.32,56.45,59,55.55,56.84,2.07,8.4,127.92,127.16,125.15,126.1,4.64,8.04,103.91,106.84,101.96,105.7,2.75,9.17,30.11,30.99,29.96,30.49,0.89,8.62,38.59,38.85,38.28,38.82,1.94,8.41,201.08,207.21,198.98,204.29,3.02,9.74,44.73,47.19,44.86,45.28,2.45,9.91,19.89,20.48,19.85,20.26,0.45,8.12,38.12,39.76,37.17,38.25,2.64,8.7,20.93,21.23,20.73,21.06,1.41,9.47,62.96,66.42,62.03,64.02,1.46,8.83,30.7,31.62,29.9,30.65,2.29,8.44,95.85,98.2,92.53,94.35,1.4,8.37,39.82,39.13,37.53,39.05,2.61,8.73,133.15,131.4,129.56,130.9,1.93,8.17,69.73,71.4,69.96,70.16,1.87,9.15,13.38,13.88,12.82,13.4,1.87,9.31,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,02/02/2024,2024,2,PHP,38.49,39.26,36.26,37.75,2.49,8.61,37.92,39.36,38.01,38.07,1.46,8.92,36.13,36.44,35.82,35.87,1.13,9.89,184.51,192.64,179.76,186.35,1.41,8.31,107.72,113.09,104.34,109.4,1.69,9.16,141.64,149.24,140.27,142.93,0.5,8.38,101.33,107.98,100.9,103.19,1.43,8.69,65.02,67.14,64.05,65.58,2.78,9.26,179.33,188.79,176.3,182.5,1.95,8.64,72.31,75.8,72.08,73.76,2.02,9.21,40.52,41.65,39.11,40.87,2.02,8.5,27.58,28.05,27.91,27.98,0.81,8.48,71.4,72.56,70.56,71.78,1.85,9.74,63.54,66.57,63.92,64.42,1.57,9.89,89.67,92.05,87.51,88.53,2.48,9.1,65.15,64.55,61.65,64.54,3.64,9.3,41.31,40.72,38.99,40.58,0.23,9,36.97,37.88,35.84,37.19,2.79,9.98,27.06,28.23,26.72,27.08,1.74,8.91,17.11,17.18,16.2,16.99,0.98,9.73,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,03/03/2024,2024,3,PHP,26.49,27.08,26.32,26.88,3.27,8.6,12.66,13.22,12.3,12.81,0.46,8.13,14.89,15.29,14.79,14.89,4.39,8.84,36.45,38.08,35.28,36.86,1.36,9.15,318.43,327.18,309.57,322.48,1.93,9.71,90.21,95.09,91.13,91.95,2.55,9.05,573.85,607.63,555.48,584.24,1.68,8.68,63.92,67.03,62.49,64.19,1.73,8.77,8.86,9.17,8.52,8.85,2.08,8.78,54.72,57.23,52.62,55,1.38,9.73,104.39,107.1,101.76,105.95,2.8,8.82,47.71,50.16,45.91,48,1.93,9.06,89.72,94.28,87.07,90.1,1.47,9.71,143.12,145.34,138.97,145.17,0.4,9.72,74.4,78.73,74.5,75.04,0.78,9.32,103.98,107.53,103.06,103.49,3,8.3,89.94,89.56,87.26,89.08,2.03,8.14,51.95,55.16,51.01,52.88,0.42,9.15,162.72,169.97,157.05,163.45,2.44,9.34,32.86,33.86,32,32.61,0.98,8.03,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,04/04/2024,2024,4,PHP,27.24,27.42,25.79,26.75,1.67,8.58,9.67,10.03,9.75,9.85,2.21,9.41,27.7,28.64,26.58,27.93,3.44,8.9,73.5,76.8,73.61,74.27,0.36,9.28,31.22,31.4,29.71,30.85,0.34,9.56,97.68,97.33,93.77,97.09,1.32,8.1,41.46,41.52,41.12,41.4,2.95,9.7,116.33,118.17,110.68,114.38,1.22,8.25,17.39,17.86,16.73,17.08,2.78,8.1,30.89,30.73,30.06,30.61,2.21,8.15,40.41,42.62,39.84,40.92,0.46,8.72,51.21,53.91,49.81,52.07,2.66,9.16,16.63,16.86,16.12,16.63,3.26,9.14,90.62,91.48,89.14,89.88,2.05,8.47,83.97,88.59,82.01,84.55,3.25,9.37,134.87,134.53,131.23,132.92,4.16,9.93,53.44,54.02,52.85,52.96,1.62,9.13,71.37,70.69,67.83,70.51,1.84,9.66,21.51,22.04,21.11,21.68,1.6,10,14.43,14.54,14.08,14.15,1.1,9.11,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,05/05/2024,2024,5,PHP,40.54,41.81,38.35,40.11,3.01,8,23.27,23.73,23.21,23.47,2.74,8.14,9.29,9.7,9.15,9.42,3.22,8.63,140.87,143.55,132.64,138.38,2.62,9.28,122.12,122.37,119.4,121.04,-0.61,9.95,41.54,42.64,42.16,42.16,4.37,9.34,76.94,80.13,75.48,78.28,1.91,9.03,32.73,33.98,32.19,32.62,1.76,8.38,21,21.72,20.47,21.1,2.5,8.04,36.69,37.79,34.75,36.55,2.15,9.36,21.99,21.79,20.86,21.71,0.76,8.75,56.23,58.96,55.38,56.62,1.39,8.96,63.99,65.79,63.85,64.73,1.48,8.07,81.3,83.54,77.66,80.22,0.95,8.87,63.72,66.64,61.12,64.08,2.31,9.82,50.94,52.52,50.64,51.11,3.05,9.43,174.99,177.27,166.45,171.71,3.68,8.53,52.2,54.18,50.22,52.1,0.27,8.33,17.06,17.52,17.05,17.15,1.88,8.05,21.12,21.26,20.79,21.03,2.26,8.33,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,06/06/2024,2024,6,PHP,18.52,18.92,17.71,18.44,1.9,8.98,32.23,33.83,31.15,32.76,2.37,9.56,8.67,8.86,8.33,8.74,1.51,8.24,32.75,33.26,32.85,32.87,2.3,8.39,222.44,223.16,212.91,218.38,2.96,8.07,106.79,105.26,103.22,105.11,3.93,9.73,122.47,126.14,115.66,121.58,-0.17,9.78,40.32,39.83,38.08,39.81,1.23,8.16,49.44,52.55,47.96,50.34,1.15,9.42,45.33,46.57,43.84,45.18,2.68,9.83,39.1,39.28,37.28,39.07,1.39,8.02,77.03,78.71,74.34,75.87,2.87,8.56,56.1,58.01,54.56,56.81,3.68,9.82,44.92,45.04,43.29,44.65,2.32,9.08,134.97,135.32,133.89,134.3,1.77,9.97,23.88,24.44,22.6,23.56,2.82,9.94,46.94,49.63,46.33,47.42,0.7,8.37,94.75,97.31,91.8,96.31,1.68,9.36,33.72,34.2,32.48,33.9,2.8,8.53,110.79,110.58,106.83,109.22,3.29,9.6,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,07/07/2024,2024,7,PHP,24.94,26.33,24.39,25.08,0.58,9.91,39.25,40.2,37.87,38.88,3.51,8.3,21.23,21.71,20.27,21.07,1.79,8.98,247.6,252.26,243.52,250.71,1.12,9.91,90.76,94.42,88.92,90.64,3.52,9.48,164.2,167.9,164.34,165.95,1.63,8.17,421.46,424.21,403.31,423.99,2.35,8.87,23.47,24.07,23.22,23.3,2.23,8.84,56.04,55.91,54.45,55.33,0.14,9.62,24.68,25.5,23.4,24.41,2.58,9.48,45.95,47.32,45.29,46.69,1.92,8.1,58.62,60.35,57.64,58.5,0.1,8.9,70.17,70.39,66.67,69.98,2.03,9.72,48.9,51.41,47.8,49.09,2.32,9.68,16.98,17.36,16.44,16.86,3,9.9,95.8,95.34,91.16,93.94,2.33,9.96,250.16,258.9,252.34,253.3,2.11,9.45,38.45,39.49,38.06,38.35,2.19,8.45,82.39,82.02,79.22,81.1,1.42,9.51,47.06,48.45,45.66,47.97,3.25,9.52,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,08/08/2024,2024,8,PHP,12.58,12.42,12.16,12.35,1.69,9.03,31.51,33.54,31.41,32.11,3.45,9.88,24.34,24.71,23.77,23.88,3.18,9.8,62.28,62.86,61.02,62.83,2.6,9.03,193.33,196.81,184.43,192.51,0.99,9.72,22.93,23.75,22.49,22.71,1.14,8.76,269.88,284.36,264.01,271.62,0.71,9.54,39.48,40.29,38.51,39.76,1.68,9.77,48.87,49.11,47.71,48.05,1.91,9.59,48.71,51.19,49.21,49.23,1.1,9.46,31.62,32.7,31.11,31.58,3.74,9.31,99.94,99.84,95.95,98.32,2.99,8.2,39.09,41.29,39.37,39.89,1.07,8.74,12.75,12.94,12.67,12.89,1.52,8.56,29.53,30.96,29.14,29.93,3.81,9.4,73.33,74.31,70.35,72.2,3.29,8.13,212.52,220.75,203.31,212.01,2.76,9.11,35.92,37.82,35.1,36.55,1.04,9.82,155.82,157.04,154.57,155.39,1.5,9.16,102.6,102.41,96.21,100.79,2.73,9.65,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,09/09/2024,2024,9,PHP,25.97,26.64,24.99,25.88,-0.6,8.63,31.06,31.11,30.5,31.09,2.58,8.7,4.53,4.72,4.51,4.59,2.95,9.7,56.72,58.32,56.19,57.23,3.63,8.82,409.75,414.31,402.29,407.01,2.08,8.45,52.88,54.48,51.15,52.22,3.42,9.92,442.42,447.33,428.4,447.01,1.29,8.05,17.56,18.64,17.87,17.9,0.86,9.52,18.05,18.34,17.37,17.97,1.85,9.71,99.87,101.16,97.49,100.4,0.96,9.73,27.97,28.46,27.08,28.45,3.05,8.72,133.44,133.44,131.61,132.41,3.93,9.82,88.83,89.41,86.79,88.72,0.92,8.81,69.35,68.79,64.85,68.18,3.25,8.53,13.09,13.3,12.69,12.91,2.62,9.52,12.47,12.85,12.23,12.5,1.67,8.9,43.5,45.82,42.15,44.12,3.26,8.21,65.81,67.94,62.21,64.85,1.91,9.57,38.79,40.03,38.45,38.46,2.5,9.4,32.92,32.68,32.35,32.65,0.84,10,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,10/10/2024,2024,10,PHP,26.41,26.88,26.42,26.58,1.87,9.79,24.62,25.13,23.69,24.21,1.25,9.63,32.06,32.24,30.36,31.85,3.01,9.8,261.68,269.04,256.61,257.8,2.19,9.87,327.85,347.32,317.85,331.45,1.78,9.71,102.39,104.43,100.59,102.24,3,8.8,109.29,113.29,109.68,110,0.95,9.37,15.98,16.07,15.32,15.99,1.77,9.39,13.32,13.54,13.06,13.51,0.88,8,49.21,50.49,49.12,49.24,3.05,8.22,77.6,81.21,77.67,78.17,-0.02,9.68,41.21,42.31,39.72,41.27,1.57,9.17,48.21,50.98,47.25,48.64,2.47,9.92,32.11,33.43,30.98,32.56,3.51,8.64,173.41,171.09,166.2,170.16,2.43,8.62,154.27,159.17,149.2,152.86,2.59,9.43,118.14,117.54,115.42,116.18,1.87,9.69,63.32,65.76,61.73,64.38,2.52,8.38,37.47,38.65,36.43,37.64,2.36,9.18,24.71,24.67,23.38,24.54,2.75,9.51,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
