ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,beans,cabbage,carrots,eggs,meat_beef_chops,meat_chicken_whole,meat_pork,onions,potatoes,rice,tomatoes,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cabbage,h_cabbage,l_cabbage,c_cabbage,inflation_cabbage,trust_cabbage,o_carrots,h_carrots,l_carrots,c_carrots,inflation_carrots,trust_carrots,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_meat_beef_chops,h_meat_beef_chops,l_meat_beef_chops,c_meat_beef_chops,inflation_meat_beef_chops,trust_meat_beef_chops,o_meat_chicken_whole,h_meat_chicken_whole,l_meat_chicken_whole,c_meat_chicken_whole,inflation_meat_chicken_whole,trust_meat_chicken_whole,o_meat_pork,h_meat_pork,l_meat_pork,c_meat_pork,inflation_meat_pork,trust_meat_pork,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_potatoes,h_potatoes,l_potatoes,c_potatoes,inflation_potatoes,trust_potatoes,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/01/2007,2007,1,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.94,82.86,80.98,81.94,,8.0,32.17,35.11,29.76,32.6,,6.1,41.09,44.33,38.41,41.59,,7.5,3.86,3.94,3.81,3.87,,9.3,139.81,142.34,138.63,140.49,,9.6,106.71,108.36,105.71,107.04,,9.6,109.96,111.98,109.13,110.54,,9.5,177.35,186.11,166.64,177.45,,7.7,56.12,58.77,53.59,56.13,,8.2,20.83,21.51,20.31,20.91,,8.7,25.61,28.0,23.78,25.97,,6.2,0.75,0.76,0.74,0.75,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/02/2007,2007,2,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.92,82.86,80.98,82.09,,8.0,32.87,35.58,30.16,30.43,,6.1,41.87,44.87,38.88,39.06,,7.5,3.89,3.95,3.83,3.89,,9.3,141.16,143.03,139.3,141.27,,9.6,107.37,108.7,105.57,105.57,,9.6,111.14,112.83,109.71,112.83,,9.5,176.48,186.22,152.35,152.35,,7.7,56.18,58.77,50.95,50.95,,8.2,21.0,21.6,20.39,21.1,,8.7,26.26,28.39,24.12,24.81,,6.2,0.76,0.77,0.72,0.72,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/03/2007,2007,3,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,82.06,82.91,81.21,81.42,,8.0,30.8,33.24,28.35,29.85,,6.1,38.73,41.45,36.01,38.41,,7.5,3.9,3.96,3.85,3.91,,9.3,141.97,143.43,140.52,142.26,,9.6,105.7,107.06,104.34,105.7,,9.6,113.76,115.31,112.21,113.64,,9.5,144.67,157.47,131.87,136.68,,7.7,50.11,52.93,47.29,50.74,,8.2,21.19,21.78,20.59,21.68,,8.7,25.03,26.88,23.18,24.23,,6.2,0.72,0.73,0.7,0.71,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/04/2007,2007,4,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.51,82.31,80.71,81.42,,8.0,30.62,32.77,28.48,29.41,,6.1,38.95,41.26,36.64,38.65,,7.5,3.93,3.98,3.88,3.9,,9.3,143.02,144.4,141.63,141.7,,9.6,106.16,107.33,105.0,105.2,,9.6,114.14,115.54,112.74,113.51,,9.5,132.18,141.13,123.23,137.89,,7.7,50.89,53.33,48.45,49.75,,8.2,21.8,22.42,21.18,21.9,,8.7,24.65,26.26,23.05,24.86,,6.2,0.71,0.72,0.7,0.71,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/05/2007,2007,5,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.45,82.18,80.71,81.68,,8.0,30.49,32.49,28.48,30.6,,6.1,39.55,41.65,37.46,38.12,,7.5,3.91,3.96,3.86,3.87,,9.3,142.14,144.19,140.64,144.19,,9.6,105.53,106.63,104.42,105.31,,9.6,113.93,115.29,111.98,111.98,,9.5,139.22,147.03,131.41,142.63,,7.7,49.52,52.76,47.39,52.76,,8.2,22.01,23.01,21.41,23.01,,8.7,25.58,27.04,24.12,26.01,,6.2,0.72,0.73,0.7,0.72,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/06/2007,2007,6,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.65,82.34,80.76,80.76,,8.0,31.65,33.63,29.71,33.63,,6.1,38.89,40.93,36.86,40.22,,7.5,3.88,3.93,3.83,3.88,,9.3,145.24,146.98,143.49,144.29,,9.6,105.77,106.76,104.78,106.5,,9.6,112.17,113.72,110.61,113.1,,9.5,146.35,153.62,139.07,149.04,,7.7,53.4,55.82,50.97,54.18,,8.2,23.18,23.85,22.52,22.59,,8.7,26.7,28.14,25.27,26.96,,6.2,0.73,0.74,0.72,0.73,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/07/2007,2007,7,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,80.89,81.59,80.18,80.9,,8.0,34.38,36.67,32.09,33.46,,6.1,41.73,43.84,39.61,43.45,,7.5,3.9,3.94,3.85,3.9,,9.3,144.88,146.4,143.36,143.95,,9.6,107.04,108.01,106.08,106.63,,9.6,113.92,115.38,112.46,113.05,,9.5,153.87,161.1,146.64,153.58,,7.7,54.25,56.46,52.05,54.95,,8.2,22.68,23.29,22.08,22.89,,8.7,27.38,28.8,25.97,27.3,,6.2,0.74,0.75,0.73,0.74,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/08/2007,2007,8,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,80.92,81.58,80.27,81.04,,8.0,33.62,35.78,31.46,34.99,,6.1,44.8,47.12,42.47,42.5,,7.5,3.92,3.96,3.87,3.92,,9.3,144.47,145.94,142.99,144.42,,9.6,106.96,107.87,106.05,107.3,,9.6,113.49,114.89,112.08,112.22,,9.5,157.68,164.87,150.49,162.66,,7.7,55.12,57.11,53.13,55.72,,8.2,23.0,23.64,21.56,21.56,,8.7,27.59,28.97,26.2,27.41,,6.2,0.74,0.76,0.73,0.75,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/09/2007,2007,9,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.02,81.64,80.41,81.32,,8.0,35.13,37.38,32.88,34.23,,6.1,42.43,44.81,40.05,43.61,,7.5,3.94,3.98,3.89,3.93,,9.3,145.04,146.44,143.64,144.6,,9.6,107.74,108.61,106.87,107.23,,9.6,112.61,114.04,111.17,111.76,,9.5,167.16,175.14,159.18,170.82,,7.7,55.79,57.69,53.97,57.69,,8.2,21.57,22.17,20.96,22.14,,8.7,27.7,29.07,26.33,27.72,,6.2,0.75,0.76,0.74,0.76,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/10/2007,2007,10,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.27,81.87,80.68,81.83,,8.0,34.42,36.55,32.02,32.02,,6.1,44.16,46.47,41.84,43.34,,7.5,3.94,3.99,3.89,3.89,,9.3,145.14,146.55,143.74,145.45,,9.6,107.54,108.4,106.68,106.8,,9.6,112.28,113.67,110.9,111.79,,9.5,173.36,181.61,165.11,178.09,,7.7,58.07,59.94,56.19,58.71,,8.2,22.22,22.84,21.61,22.59,,8.7,28.1,29.47,26.74,28.31,,6.2,0.76,0.77,0.75,0.77,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/11/2007,2007,11,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.74,82.34,81.13,81.21,,8.0,32.54,34.74,30.34,31.81,,6.1,43.58,45.77,41.39,42.35,,7.5,3.91,3.95,3.86,3.92,,9.3,146.12,147.52,144.73,147.21,,9.6,107.11,107.99,106.24,107.39,,9.6,112.42,113.75,111.08,112.28,,9.5,178.15,186.83,169.46,174.75,,7.7,58.78,60.52,57.03,57.03,,8.2,22.7,23.32,22.08,22.9,,8.7,28.72,30.11,27.33,28.24,,6.2,0.77,0.78,0.76,0.76,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/12/2007,2007,12,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.27,82.03,80.67,82.03,,8.0,32.95,35.01,30.9,33.51,,6.1,42.63,44.75,40.51,44.05,,7.5,3.93,3.98,3.89,3.96,,9.3,148.08,149.59,146.57,147.31,,9.6,107.86,108.71,107.02,107.69,,9.6,112.99,114.3,111.68,111.83,,9.5,170.38,179.82,162.02,179.82,,7.7,56.76,58.46,55.07,57.61,,8.2,23.02,23.64,21.97,21.97,,8.7,28.62,30.02,27.22,28.95,,6.2,0.76,0.77,0.75,0.77,,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/01/2008,2008,1,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.93,82.56,81.29,82.14,0.24,8.0,34.58,36.66,32.51,34.31,5.25,6.1,45.13,47.36,42.9,44.31,6.54,7.5,3.97,4.07,3.93,4.07,5.05,9.3,147.89,149.36,146.41,147.43,4.94,9.6,108.06,110.09,107.24,110.09,2.85,9.6,112.34,113.86,110.96,113.86,3.0,9.5,176.41,186.1,161.49,161.49,-8.99,7.7,57.74,59.67,56.14,59.67,6.32,8.2,22.01,23.06,21.39,23.06,10.27,8.7,29.36,30.79,27.92,28.58,10.05,6.2,0.77,0.79,0.76,0.76,1.5,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/02/2008,2008,2,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,82.09,82.69,81.13,81.13,-1.17,8.0,35.11,37.16,28.03,28.03,-7.88,6.1,44.88,47.05,42.71,44.38,13.61,7.5,4.09,4.15,3.98,3.98,2.38,9.3,148.01,149.45,146.58,149.15,5.58,9.6,110.71,111.91,103.21,103.21,-2.24,9.6,114.95,117.9,113.44,117.9,4.49,9.5,152.63,162.96,130.34,130.34,-14.45,7.7,60.03,61.77,58.29,58.53,14.88,8.2,23.2,23.83,22.56,22.92,8.63,8.7,29.05,32.84,27.59,32.84,32.35,6.2,0.76,0.77,0.73,0.73,1.12,9.6
PHL,Philippines,Region XI,Davao Oriental,Davao Oriental,6.96,126.21,gid_696000001262100000,01/03/2008,2008,3,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,81.26,82.18,80.6,82.18,0.94,8.0,29.09,32.29,25.89,29.02,-2.8,6.1,44.93,47.05,42.82,44.36,15.47,7.5,3.99,4.06,3.93,4.0,2.21,9.3,150.04,151.57,148.35,148.35,4.28,9.6,102.67,105.73,99.6,103.28,-2.29,9.6,119.23,123.62,117.28,123.62,8.78,9.5,120.97,132.28,99.02,99.02,-27.55,7.7,58.25,59.93,56.58,57.31,12.94,8.2,23.01,25.45,22.39,25.45,17.43,8.7,33.27,36.03,26.54,26.54,9.5,6.2,0.73,0.74,0.71,0.71,-0.56,9.6
