ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,beans,cabbage,carrots,eggs,meat_beef_chops,meat_chicken_whole,meat_pork,onions,potatoes,rice,tomatoes,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cabbage,h_cabbage,l_cabbage,c_cabbage,inflation_cabbage,trust_cabbage,o_carrots,h_carrots,l_carrots,c_carrots,inflation_carrots,trust_carrots,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_meat_beef_chops,h_meat_beef_chops,l_meat_beef_chops,c_meat_beef_chops,inflation_meat_beef_chops,trust_meat_beef_chops,o_meat_chicken_whole,h_meat_chicken_whole,l_meat_chicken_whole,c_meat_chicken_whole,inflation_meat_chicken_whole,trust_meat_chicken_whole,o_meat_pork,h_meat_pork,l_meat_pork,c_meat_pork,inflation_meat_pork,trust_meat_pork,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_potatoes,h_potatoes,l_potatoes,c_potatoes,inflation_potatoes,trust_potatoes,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-01-01,2007.0,1.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,92.93,94.28,91.58,92.93,,8.1,35.14,40.46,30.95,35.89,,6.1,45.36,49.5,42.03,45.98,,7.6,4.03,4.1,3.98,4.04,,9.3,176.11,178.12,174.99,176.55,,9.6,119.27,121.19,118.09,119.64,,9.6,137.24,139.12,136.42,137.75,,9.5,75.13,79.47,71.27,75.68,,8.4,37.19,39.55,35.05,37.51,,8.2,19.38,19.75,19.15,19.45,,8.8,39.17,45.76,34.96,40.4,,7.7,0.75,0.75,0.73,0.75,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-02-01,2007.0,2.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,92.93,94.28,91.58,93.5,,8.1,36.47,41.33,31.61,34.14,,6.2,46.39,50.18,42.61,43.41,,7.6,4.05,4.11,4.0,4.05,,9.3,177.0,178.57,175.44,177.24,,9.6,120.01,121.57,118.46,119.38,,9.6,138.28,139.64,136.93,138.74,,9.5,75.92,80.05,65.71,65.71,,8.4,37.62,39.89,34.9,34.9,,8.2,19.53,20.06,19.22,20.06,,8.8,41.62,47.19,36.06,39.2,,7.8,0.74,0.75,0.73,0.73,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-03-01,2007.0,3.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,93.45,94.81,92.1,92.7,,8.1,34.02,38.64,29.4,33.49,,6.2,42.98,46.36,39.61,42.68,,7.6,4.06,4.11,4.0,4.07,,9.3,177.69,179.16,176.22,178.48,,9.6,119.54,121.03,118.06,118.73,,9.6,139.27,140.64,137.81,137.81,,9.5,62.2,66.82,57.58,60.98,,8.4,34.05,36.16,31.94,35.25,,8.2,20.21,20.57,19.85,20.4,,8.8,39.88,44.55,35.21,37.57,,7.8,0.72,0.73,0.72,0.72,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-04-01,2007.0,4.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,92.8,94.05,91.54,93.44,,8.1,33.64,38.18,29.1,33.08,,6.2,42.88,45.86,39.89,43.48,,7.6,4.08,4.13,4.03,4.05,,9.3,178.94,181.25,177.44,181.25,,9.6,118.78,120.23,117.34,119.28,,9.6,138.22,139.59,136.86,137.52,,9.5,59.81,63.45,56.16,60.53,,8.5,35.52,37.42,33.63,34.56,,8.2,20.56,20.88,20.24,20.41,,8.8,38.21,42.3,34.12,40.02,,7.7,0.72,0.73,0.71,0.72,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-05-01,2007.0,5.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,93.31,94.49,92.13,93.34,,8.1,33.62,38.0,29.25,34.54,,6.2,44.53,47.34,41.73,42.26,,7.6,4.05,4.1,4.0,4.02,,9.4,181.73,183.57,179.9,181.44,,9.6,119.71,121.11,118.31,119.43,,9.6,137.79,139.15,136.42,137.71,,9.5,61.25,64.51,58.0,61.84,,8.5,34.95,36.9,33.0,35.86,,8.2,20.49,20.77,20.21,20.68,,8.8,41.62,45.7,37.53,40.93,,7.7,0.73,0.74,0.72,0.73,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-06-01,2007.0,6.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,93.44,94.52,92.36,92.92,,8.1,35.92,40.42,31.42,37.87,,6.2,42.97,45.69,40.25,44.71,,7.6,4.03,4.08,3.98,4.03,,9.4,181.88,183.45,180.32,182.46,,9.6,119.7,121.05,118.34,119.98,,9.6,137.97,139.34,136.6,136.92,,9.5,63.35,66.48,60.22,64.65,,8.5,36.92,38.82,35.01,36.83,,8.2,20.76,21.02,20.51,21.02,,8.8,42.05,45.96,38.13,41.74,,7.7,0.74,0.75,0.73,0.74,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-07-01,2007.0,7.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,92.89,93.96,91.82,93.14,,8.1,39.86,44.71,35.02,37.35,,6.2,46.32,49.13,43.52,48.12,,7.6,4.04,4.09,4.0,4.01,,9.4,182.95,184.47,181.42,182.17,,9.6,120.4,121.72,119.09,120.75,,9.6,137.26,138.62,135.89,137.81,,9.5,66.71,69.91,63.51,66.4,,8.5,37.84,39.73,35.95,37.45,,8.2,21.14,21.4,20.89,21.4,,8.8,42.93,46.77,39.09,42.77,,7.8,0.75,0.76,0.74,0.75,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-08-01,2007.0,8.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,93.14,94.13,92.16,92.74,,8.1,38.27,42.93,33.62,39.0,,6.2,50.11,53.07,46.89,46.89,,7.6,4.02,4.06,3.97,4.05,,9.4,182.6,184.13,181.07,182.35,,9.6,121.23,122.51,119.95,120.76,,9.6,138.32,139.7,136.94,138.45,,9.5,67.85,71.07,64.64,70.27,,8.5,38.02,39.89,36.16,37.98,,8.2,21.53,21.78,20.65,20.65,,8.8,44.03,47.88,40.17,43.1,,7.8,0.76,0.76,0.75,0.76,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-09-01,2007.0,9.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,92.77,93.72,91.82,92.77,,8.1,40.08,44.72,35.43,38.15,,6.2,47.16,50.2,44.13,47.44,,7.6,4.07,4.11,4.03,4.05,,9.4,182.84,184.34,181.35,183.14,,9.6,121.01,122.25,119.77,120.96,,9.6,139.17,140.56,136.98,136.98,,9.5,72.54,76.02,69.05,73.13,,8.5,38.38,40.19,36.57,39.06,,8.2,20.64,21.24,20.22,21.24,,8.8,44.21,48.09,40.33,43.76,,7.7,0.76,0.77,0.75,0.76,,9.6
PHL,Philippines,Market Average,Market Average,Market Average,,,gid_phl_national_average,2007-10-01,2007.0,10.0,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan 2007,Jun 2025,22.81,42.59,0.98,0.0,,,,,,,,,,,,92.75,93.64,91.85,93.2,,8.1,38.62,43.13,34.1,35.63,,6.2,47.74,50.62,44.85,48.26,,7.6,4.06,4.1,4.02,4.08,,9.4,183.59,185.08,182.09,183.23,,9.6,121.3,122.5,120.1,120.19,,9.6,137.69,139.06,136.31,138.35,,9.5,74.69,78.24,71.15,75.34,,8.5,39.61,41.43,37.78,40.06,,8.2,21.29,21.74,20.84,21.4,,8.8,44.97,48.88,41.06,44.37,,7.7,0.77,0.77,0.76,0.77,,9.6
