ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cabbage,h_cabbage,l_cabbage,c_cabbage,inflation_cabbage,trust_cabbage,o_carrots,h_carrots,l_carrots,c_carrots,inflation_carrots,trust_carrots,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_meat_beef_chops,h_meat_beef_chops,l_meat_beef_chops,c_meat_beef_chops,inflation_meat_beef_chops,trust_meat_beef_chops,o_meat_chicken_whole,h_meat_chicken_whole,l_meat_chicken_whole,c_meat_chicken_whole,inflation_meat_chicken_whole,trust_meat_chicken_whole,o_meat_pork,h_meat_pork,l_meat_pork,c_meat_pork,inflation_meat_pork,trust_meat_pork,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_potatoes,h_potatoes,l_potatoes,c_potatoes,inflation_potatoes,trust_potatoes,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_dish_soap,h_dish_soap,l_dish_soap,c_dish_soap,inflation_dish_soap,trust_dish_soap,o_soap,h_soap,l_soap,c_soap,inflation_soap,trust_soap,o_shampoo,h_shampoo,l_shampoo,c_shampoo,inflation_shampoo,trust_shampoo,o_bleach,h_bleach,l_bleach,c_bleach,inflation_bleach,trust_bleach,o_detergent,h_detergent,l_detergent,c_detergent,inflation_detergent,trust_detergent,o_fabric_softeners,h_fabric_softeners,l_fabric_softeners,c_fabric_softeners,inflation_fabric_softeners,trust_fabric_softeners,o_toothpaste,h_toothpaste,l_toothpaste,c_toothpaste,inflation_toothpaste,trust_toothpaste,o_deodorant,h_deodorant,l_deodorant,c_deodorant,inflation_deodorant,trust_deodorant,o_toilet_paper,h_toilet_paper,l_toilet_paper,c_toilet_paper,inflation_toilet_paper,trust_toilet_paper,components,PHL,Philippines,Region XI,Davao del Norte,Davao del Norte.1,7.45,125.8,gid_745000001258000000,01/01/2008,2008,1,PHP,36.89,38.18,35.73,37.48,3.98,9.26,25.54,26.07,25.1,25.49,0.84,9.03,46.99,46.79,46.12,46.13,1.99,9.41,163.66,165.77,153.67,161.64,0.93,8.49,162.44,165.6,153.9,161.41,1.5,8.07,175.04,182.88,172.1,178.04,1.77,9.05,110.79,113.84,107.25,112.12,3.12,9.65,78.17,79.85,76.83,77.9,3.63,9.44,42.48,43.48,40.55,42.14,2.37,9.94,50.02,52.61,50.27,50.64,1.82,9.74,82.49,85.99,82.24,83.98,1.66,9.48,84.12,83.95,81.04,83.05,3.81,8.42,47.43,47.89,45.09,47.3,0.54,9.5,101.35,100.31,97.47,99.47,1.31,9.27,73.99,78.24,71.38,74.79,0.71,9.36,111.78,113.44,110.46,111.12,1.9,9.73,103.51,108.14,102.66,104.6,0.9,9.76,71.12,72.78,71.25,71.65,3.87,9.78,76.93,76.98,73.4,76.43,1.36,8.97,29.91,30.18,29.83,29.93,2.14,8.94,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,0.0,0.0,gid_745000001258000000,01/12/2006,2006.0,12.0,PHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/01/2007,2007.0,1.0,PHP,39.94,41.0,38.14,40.0,2.03,9.53,29.65,30.85,29.8,30.0,2.97,8.86,35.59,35.47,33.9,35.0,2.99,9.88,138.28,141.34,138.38,140.0,3.12,8.53,161.73,160.83,159.7,160.0,1.68,9.65,127.52,135.83,124.87,130.0,1.4,8.46,147.03,155.61,149.27,150.0,2.7,9.08,59.99,62.53,59.4,60.0,1.89,8.82,50.73,51.87,49.64,50.0,0.9,9.39,59.8,62.73,59.98,60.0,2.32,8.21,70.79,72.64,68.62,70.0,3.46,9.26,90.97,91.66,89.82,90.0,2.73,9.64,49.95,50.11,49.93,50.0,1.03,8.64,118.49,120.75,114.83,120.0,2.54,9.5,78.42,80.96,76.4,80.0,1.25,8.06,99.66,101.16,97.46,100.0,1.27,9.74,108.42,111.92,106.64,110.0,2.78,9.75,70.31,70.54,66.73,70.0,3.05,8.43,89.22,92.88,88.23,90.0,1.6,9.24,40.78,40.2,38.85,40.0,1.66,8.61,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,02/02/2007,2007.0,2.0,PHP,39.69,41.33,39.11,39.63,1.53,9.02,27.95,28.57,26.8,27.99,2.83,9.92,36.21,38.16,35.0,36.71,2.56,9.71,132.76,137.24,128.98,132.36,1.77,8.06,160.47,167.52,159.6,160.51,3.45,9.63,143.22,143.44,136.46,142.22,1.99,9.85,151.83,150.95,144.2,149.7,3.76,8.75,58.09,59.3,57.79,58.64,1.11,8.17,53.15,52.72,50.04,52.16,3.63,8.56,57.95,61.57,56.41,59.11,1.03,9.26,82.31,83.42,79.77,81.82,1.46,8.07,92.15,95.68,91.57,92.14,3.51,8.21,53.61,55.77,52.73,53.31,2.5,9.28,118.75,117.37,112.52,116.82,1.34,9.8,82.25,84.51,79.81,83.7,2.31,9.15,101.28,107.03,101.05,101.94,1.48,9.77,108.81,114.3,103.79,108.99,2.11,9.59,72.66,73.29,70.55,72.03,2.25,8.62,85.12,87.1,83.58,84.31,2.36,8.47,44.37,45.98,41.86,43.89,0.64,9.07,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,03/03/2007,2007.0,3.0,PHP,36.48,38.18,36.4,36.53,2.3,9.56,26.52,27.79,25.88,26.84,2.58,8.53,35.09,35.43,32.94,34.44,2.66,9.07,127.27,130.55,120.5,126.45,3.19,8.44,165.51,173.0,164.58,164.78,1.91,9.98,138.76,145.31,136.85,139.38,1.71,8.28,146.3,147.24,144.59,145.51,2.91,9.99,64.88,64.79,62.77,64.17,3.19,8.15,44.66,46.66,43.8,45.45,2.99,9.87,65.47,67.04,64.83,65.08,1.93,8.46,73.85,75.77,70.95,73.53,1.66,8.11,89.93,90.23,88.53,88.72,3.39,8.42,50.22,51.25,49.77,49.8,1.4,9.51,117.46,122.66,115.77,118.73,1.5,9.32,76.81,77.78,73.68,77.52,0.57,8.99,103.82,107.16,98.22,102.8,1.98,9.63,111.98,116.98,111.88,112.65,2.42,8.23,57.46,56.55,56.15,56.52,0.97,8.44,93.57,98.03,93.5,94.53,0.38,9.32,38.09,39.08,37.07,37.6,0.9,8.72,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,04/04/2007,2007.0,4.0,PHP,43.24,43.34,41.47,42.75,1.74,8.33,22.67,23.24,21.84,22.93,2.98,8.95,32.89,33.12,31.8,32.73,2.36,8.98,137.36,139.28,131.25,134.93,3.1,8.94,149.01,156.24,147.91,149.11,3.11,9.85,131.75,136.1,127.58,129.72,3.66,9.73,166.14,173.11,160.39,165.73,1.78,8.42,58.06,59.98,55.51,58.26,2.38,9.97,50.15,50.45,46.95,49.18,1.5,8.21,56.99,59.35,57.29,58.03,2.26,9.17,61.45,61.27,60.53,61.09,3.15,9.95,88.74,88.54,83.06,87.3,2.07,9.31,50.59,52.23,47.79,49.85,1.29,9.24,111.8,115.37,109.41,113.8,3.25,9.77,101.71,101.96,99.78,101.5,3.27,8.18,101.25,101.21,99.28,101.06,1.08,9.27,97.59,101.35,94.69,97.33,1.43,9.15,67.48,69.78,64.57,66.96,1.77,8.48,85.02,86.33,82.9,84.77,4.52,8.06,38.24,39.73,38.08,38.76,3.3,8.09,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,05/05/2007,2007.0,5.0,PHP,38.99,40.45,39.06,39.49,2.22,9.14,34.03,35.66,32.74,34.28,0.93,8.91,30.01,31.06,28.98,29.71,2.45,9.29,158.53,162.02,153.37,161.36,0.75,9.13,160.44,162.9,153.73,159.45,1.03,8.69,126.59,133.69,122.05,127.86,3.12,9.89,167.61,172.63,159.52,165.55,3.57,8.2,56.53,59.26,55.57,56.96,1.88,8.55,56.25,59.81,55.56,57.01,3.26,9.1,55.85,59.17,54.45,56.82,1.67,8.18,70.19,70.6,68.87,70.27,2.44,8.76,88.98,89.5,84.93,88.99,0.61,9.56,51.13,54.72,51.14,52.15,1.13,9.4,103.11,108.66,100.42,105.13,1.01,8.13,93.37,98.2,90.3,93.55,1.42,9.19,97.41,98.76,94.08,98.51,2.81,8.65,100.75,104.41,99.68,101.51,3.15,8.19,72.1,74.83,70.49,71.5,0.49,9.55,99.5,98.86,93.21,98.02,2.3,9.27,39.15,40.02,38.32,38.77,2.39,9.48,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,06/06/2007,2007.0,6.0,PHP,35.15,36.44,33.69,34.99,1.23,9.09,28.52,29.08,27.81,28.31,1.97,8.55,38.52,39.21,36.73,37.9,2.87,8.34,134.52,139.83,132.19,137.07,2.23,8.53,157.41,160.03,157.62,158.66,2.49,9.17,122.62,124.74,121.83,124.0,1.5,9.49,138.87,140.81,136.95,137.1,0.68,8.69,67.6,70.33,66.48,68.03,0.47,9.86,46.22,48.53,45.82,46.49,2.79,8.21,64.89,67.91,63.68,66.06,2.39,8.74,64.54,65.46,64.01,64.11,1.79,8.53,80.94,81.13,77.12,80.77,1.94,9.7,44.5,44.33,42.17,43.98,0.45,9.81,114.73,117.38,111.78,112.9,2.24,8.87,80.64,82.74,75.61,79.23,2.52,9.49,90.32,95.26,88.05,92.13,2.72,8.49,114.92,120.67,115.17,115.54,2.56,9.43,73.17,75.28,71.8,72.12,3.44,9.28,78.78,82.34,76.37,79.67,1.84,9.4,33.14,33.55,32.94,32.99,3.22,9.8,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,07/07/2007,2007.0,7.0,PHP,48.13,49.05,45.9,48.13,3.46,9.15,38.43,38.5,38.03,38.09,2.15,8.61,33.86,33.56,32.58,33.48,2.29,8.29,132.26,129.82,125.17,129.68,3.57,8.56,118.55,118.48,112.27,116.99,1.65,8.53,127.78,132.4,125.32,128.76,0.77,9.38,136.86,145.91,138.39,139.03,3.85,9.5,61.57,63.95,61.7,62.43,2.79,9.29,54.53,55.11,53.88,55.04,2.18,9.22,60.02,61.93,57.46,59.77,2.22,8.81,74.38,74.5,69.94,73.31,1.35,9.3,87.55,90.65,84.97,89.03,3.27,8.62,40.17,42.45,40.15,40.53,3.14,8.1,125.28,127.59,123.79,126.83,2.24,9.33,89.0,92.17,85.61,88.07,1.86,9.8,66.89,70.07,64.51,67.45,2.93,9.65,136.37,139.54,129.94,134.78,2.47,8.47,70.73,72.69,67.34,70.75,1.26,9.24,68.26,71.35,66.29,69.04,0.29,8.63,36.78,37.06,35.92,36.59,2.15,9.76,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,08/08/2007,2007.0,8.0,PHP,52.8,53.69,51.46,52.3,1.29,8.48,28.21,29.41,27.57,28.33,1.07,8.16,33.98,34.73,34.05,34.22,1.48,8.17,180.74,185.56,170.88,177.59,1.36,8.65,149.69,151.85,140.95,147.61,2.36,8.46,141.25,144.79,138.89,141.4,1.25,8.09,120.94,122.9,114.96,118.69,3.85,8.72,59.43,61.52,58.65,59.03,3.19,8.04,57.46,60.12,56.98,57.58,3.32,8.31,62.12,61.59,58.65,60.96,0.96,8.67,74.38,75.71,71.16,74.7,1.22,9.89,78.23,78.25,77.43,77.5,2.98,8.36,60.49,63.01,57.81,60.35,2.66,8.11,98.85,99.59,96.68,99.56,0.57,8.8,87.94,90.23,86.24,87.43,2.94,8.93,111.88,113.11,106.93,109.73,3.17,8.59,122.71,123.64,115.8,120.39,2.2,9.92,86.76,89.69,83.87,86.22,2.5,9.75,86.45,88.33,81.82,85.77,-0.67,8.3,36.6,37.88,35.82,37.28,1.35,9.83,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,09/09/2007,2007.0,9.0,PHP,36.07,36.96,34.9,36.34,2.57,9.94,32.05,33.36,31.93,32.11,1.21,8.5,34.26,35.12,33.17,34.26,1.21,9.18,139.49,143.03,134.64,139.77,3.03,9.97,168.68,169.73,164.09,169.61,0.79,9.87,136.42,142.16,129.86,136.37,2.19,8.84,144.41,146.31,139.96,144.96,4.1,9.38,64.15,65.46,61.47,63.84,2.73,9.79,48.75,48.44,47.92,48.12,1.97,9.88,70.84,74.63,70.66,71.67,2.24,9.33,66.27,68.46,63.21,65.6,1.14,9.19,88.0,90.91,89.31,89.46,0.55,8.97,46.63,47.19,45.18,47.16,0.99,8.16,117.01,121.01,115.37,118.2,0.62,9.46,75.31,77.72,72.83,76.56,2.35,9.17,110.87,113.62,107.46,110.41,2.47,8.3,116.3,118.9,112.35,114.15,0.62,9.46,58.6,58.39,56.43,57.97,1.73,8.06,107.22,107.72,101.92,106.3,2.4,9.99,41.13,41.82,40.74,40.94,1.49,8.66,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
