ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,beans,cabbage,carrots,eggs,meat_beef_chops,meat_chicken_whole,meat_pork,onions,potatoes,rice,tomatoes,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cabbage,h_cabbage,l_cabbage,c_cabbage,inflation_cabbage,trust_cabbage,o_carrots,h_carrots,l_carrots,c_carrots,inflation_carrots,trust_carrots,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_meat_beef_chops,h_meat_beef_chops,l_meat_beef_chops,c_meat_beef_chops,inflation_meat_beef_chops,trust_meat_beef_chops,o_meat_chicken_whole,h_meat_chicken_whole,l_meat_chicken_whole,c_meat_chicken_whole,inflation_meat_chicken_whole,trust_meat_chicken_whole,o_meat_pork,h_meat_pork,l_meat_pork,c_meat_pork,inflation_meat_pork,trust_meat_pork,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_potatoes,h_potatoes,l_potatoes,c_potatoes,inflation_potatoes,trust_potatoes,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/01/2007,2007,1,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,79.33,80.11,78.54,79.33,,8,32.26,35.4,29.75,32.7,,6.1,39.74,42.78,37.26,40.2,,7.5,3.9,3.97,3.86,3.91,,9.3,139.71,141.39,139.08,140.21,,9.6,106.54,108.03,105.66,106.87,,9.6,110.92,113.14,109.86,111.5,,9.5,171.13,184.73,157.52,171.18,,7.7,56.17,58.91,53.88,56.5,,8.2,21.1,21.77,20.6,21.19,,8.7,27.46,30.67,24.77,27.82,,6.2,0.74,0.76,0.74,0.75,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/02/2007,2007,2,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,79.32,80.11,78.54,79.82,,8,33.02,35.88,30.15,30.75,,6.1,40.48,43.27,37.69,38.23,,7.5,3.93,3.99,3.87,3.93,,9.3,140.74,141.89,139.58,140.86,,9.6,107.18,108.37,105.31,105.31,,9.6,112.09,113.73,110.44,112.68,,9.5,171.17,184.78,150.8,150.8,,7.7,56.73,59.27,52.43,52.43,,8.2,21.27,21.86,20.68,21.41,,8.7,28.09,31.08,25.1,26.78,,6.2,0.75,0.76,0.72,0.72,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/03/2007,2007,3,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,79.79,80.52,79.06,79.61,,8,31.19,33.78,28.61,30.37,,6.1,37.96,40.64,35.28,38.34,,7.5,3.95,4,3.9,3.96,,9.3,141.4,142.45,140.34,141.4,,9.6,105.38,106.73,104.03,105.11,,9.6,113.33,114.97,111.69,112.64,,9.5,143.88,155.87,131.9,137.82,,7.7,51.63,54.01,49.25,53.44,,8.2,21.51,22.16,21.02,22.16,,8.7,27.01,29.37,24.66,26.43,,6.2,0.72,0.73,0.71,0.71,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/04/2007,2007,4,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,79.61,80.26,78.97,79.36,,8,31.18,33.52,28.84,29.83,,6.1,38.95,41.4,36.5,38.35,,7.5,3.98,4.03,3.93,3.95,,9.3,141.92,142.96,140.89,141.07,,9.6,105.47,106.58,104.37,104.67,,9.6,113.22,114.83,111.62,113.22,,9.5,134.39,141.02,127.77,137.36,,7.7,53.81,56.18,51.44,51.63,,8.2,22.3,22.88,21.71,22.37,,8.7,26.86,28.57,25.15,27.01,,6.2,0.71,0.73,0.7,0.71,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/05/2007,2007,5,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,79.37,79.97,78.78,79.3,,8,30.82,33.06,28.57,30.88,,6.1,38.9,41.31,36.5,37.32,,7.5,3.96,4.01,3.91,3.91,,9.3,141.43,143.61,140.28,143.61,,9.6,104.95,105.98,103.93,104.96,,9.6,113.71,115.3,112.06,112.06,,9.5,139.89,148.96,130.83,139.76,,7.7,51.76,54.17,49.51,54.17,,8.2,22.49,23.54,22.07,23.54,,8.7,27.62,28.89,26.34,28.09,,6.2,0.71,0.73,0.7,0.72,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/06/2007,2007,6,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,79.31,79.85,78.43,78.43,,8,31.88,34.09,29.67,34.03,,6.1,37.74,40.19,35.29,39.45,,7.5,3.92,3.97,3.87,3.93,,9.3,144.49,146.23,142.76,143.96,,9.6,105.37,106.27,104.47,106.17,,9.6,112.53,114.09,110.98,113.18,,9.5,142.49,148.87,136.11,146.18,,7.7,55.29,57.62,52.97,55.49,,8.2,23.72,24.43,23.01,23.09,,8.7,28.72,29.88,27.57,29.12,,6.2,0.72,0.73,0.71,0.73,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/07/2007,2007,7,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,78.48,79.09,77.87,78.72,,8,34.65,37.26,32.03,33.98,,6.1,40.88,43.53,38.24,42.68,,7.5,3.94,3.99,3.89,3.94,,9.3,144.48,145.72,143.24,143.62,,9.6,106.65,107.58,105.71,106.25,,9.6,113.61,115.16,112.07,113.02,,9.5,149.1,157.57,140.63,151.47,,7.7,56.52,58.82,54.21,56.48,,8.2,23.2,23.67,22.73,23.44,,8.7,29.63,30.84,28.42,29.58,,6.2,0.74,0.75,0.73,0.74,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/08/2007,2007,8,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,78.71,79.28,78.15,78.74,,8,34.11,36.58,31.63,35.21,,6.1,43.92,46.8,41.04,41.33,,7.5,3.96,4,3.91,3.96,,9.3,144.03,145.24,142.82,144.46,,9.6,106.52,107.4,105.65,107.15,,9.6,113.73,115.25,112.21,112.8,,9.5,153.65,160.13,147.18,158.82,,7.7,57.12,59.39,54.84,56.54,,8.2,23.56,24.14,21.76,21.76,,8.7,29.95,31.22,28.67,29.5,,6.2,0.74,0.76,0.73,0.75,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/09/2007,2007,9,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,78.74,79.26,78.22,79.08,,8,35.38,37.92,32.85,34.65,,6.1,41.03,43.96,38.11,42.65,,7.5,3.98,4.02,3.94,3.97,,9.3,145.05,146.17,143.94,144.75,,9.6,107.57,108.45,106.68,107.01,,9.6,113.11,114.6,111.61,112.17,,9.5,161.2,169.7,152.69,167.58,,7.7,56.85,59.06,54.65,58.85,,8.2,21.76,22.6,20.91,22.49,,8.7,29.81,31.14,28.49,29.94,,6.2,0.75,0.76,0.74,0.76,,9.6
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/10/2007,2007,10,PHP,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 12), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1)",Jan-07,Jun-25,22.81,42.59,0.98,0,,,,,,,,,,,,79.06,79.57,78.55,79.34,,8,34.85,37.3,32.13,32.13,,6.1,43.29,46.15,40.42,42,,7.5,3.99,4.03,3.93,3.93,,9.3,145.23,146.32,144.15,145.99,,9.6,107.23,108.11,106.36,106.78,,9.6,112.68,114.14,111.22,112.9,,9.5,169.99,177.51,162.47,172.55,,7.7,59.69,61.94,57.44,59.3,,8.2,22.57,23.14,22,22.92,,8.7,30.26,31.61,28.9,30.45,,6.2,0.76,0.77,0.75,0.76,,9.6
