price_date,c_beans,c_cabbage,c_carrots,c_eggs,c_rice,c_tomatoes
2024-01-01,85.50,32.75,45.20,3.25,21.80,28.90
2024-02-01,87.20,31.45,46.80,3.30,22.10,29.50
2024-03-01,89.10,33.20,44.90,3.45,21.95,27.80
2024-04-01,91.50,34.80,47.60,3.60,22.40,30.20
2024-05-01,88.70,32.10,46.30,3.35,22.25,29.80
2024-06-01,86.90,35.60,48.10,3.70,22.60,31.50
2024-07-01,92.30,36.20,49.40,3.80,22.85,32.10
2024-08-01,94.80,34.90,47.80,3.65,23.10,30.90
2024-09-01,90.20,33.80,46.50,3.50,22.70,29.40
2024-10-01,88.40,37.10,50.20,3.90,23.40,33.20
2024-11-01,95.60,38.40,51.80,4.10,23.75,34.60
2024-12-01,97.20,36.80,49.90,3.95,24.00,32.80
2025-01-01,99.50,39.20,53.10,4.25,24.30,35.40
